"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium",NA
"2","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"3","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","aerolatum"
"4","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"5","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium",NA
"6","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"7","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"8","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA
"9","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Paraburkholderia",NA
"10","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Paraburkholderia",NA
"11","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Amnibacterium",NA
