"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA
"2","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium",NA
"3","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","aerolatum"
"4","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Amnibacterium",NA
"5","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA
"6","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus",NA
"7","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidisoma",NA
"8","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium",NA
"9","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium",NA
"10","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Caldovatus",NA
"11","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA
"12","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Quadrisphaera",NA
"13","Bacteria","Proteobacteria","Gammaproteobacteria","Orbales","Orbaceae","Gilliamella","apicola"
"14","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidisoma",NA
"15","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","apis"
"16","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA
"17","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"18","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidisoma",NA
"19","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineococcus",NA
"20","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",NA,NA
"21","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA,NA
"22","Bacteria","Proteobacteria","Gammaproteobacteria","Orbales","Orbaceae","Frischella","perrara"
"23","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA
